<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US2.AAPL,60,20190212,220000,170.0000000,170.6500000,169.9300000,170.5200000,82119
US2.AAPL,60,20190212,230000,170.5300000,170.6500000,170.2600000,170.4500000,111333
US2.AAPL,60,20190213,000000,170.4600000,171.0000000,170.4500000,170.8800000,201762
US2.AAPL,60,20190213,180000,171.5700000,172.4700000,171.1300000,171.5400000,177823
US2.AAPL,60,20190213,190000,171.6300000,171.8500000,170.9500000,171.5100000,208745
US2.AAPL,60,20190213,200000,171.4800000,171.7200000,170.5700000,170.9500000,175743
US2.AAPL,60,20190213,210000,170.9700000,171.1100000,170.4100000,170.6000000,114931
US2.AAPL,60,20190213,220000,170.6200000,171.0100000,170.6000000,170.7400000,92863
US2.AAPL,60,20190213,230000,170.7300000,171.1500000,170.5600000,170.9500000,110575
US2.AAPL,60,20190214,000000,170.9100000,170.9300000,169.9200000,170.1700000,204098
US2.AAPL,60,20190214,180000,169.7000000,170.7700000,169.3900000,170.6700000,191352
US2.AAPL,60,20190214,190000,170.6300000,171.2600000,169.9200000,170.5700000,366248
US2.AAPL,60,20190214,200000,170.6100000,170.6900000,169.9100000,170.6800000,144194
US2.AAPL,60,20190214,210000,170.6600000,171.2300000,170.5100000,171.0000000,146333
US2.AAPL,60,20190214,220000,171.0300000,171.1900000,170.8600000,170.8800000,85848
US2.AAPL,60,20190214,230000,170.8600000,171.1700000,170.7100000,170.8000000,94117
US2.AAPL,60,20190215,000000,170.8200000,171.1300000,170.4300000,170.7900000,214283
US2.AAPL,60,20190215,180000,171.2600000,171.7000000,169.7600000,170.4700000,223326
US2.AAPL,60,20190215,190000,170.5200000,171.1800000,170.1200000,170.4300000,212021
US2.AAPL,60,20190215,200000,170.4500000,170.6300000,169.8400000,170.0900000,194939
US2.AAPL,60,20190215,210000,170.1600000,170.6200000,169.9500000,170.0300000,123869
US2.AAPL,60,20190215,220000,170.0200000,170.1800000,169.9300000,170.0500000,112822
US2.AAPL,60,20190215,230000,170.0700000,170.4700000,170.0600000,170.4100000,115780
US2.AAPL,60,20190216,000000,170.4000000,170.5000000,169.8700000,170.3500000,252164
US2.AAPL,60,20190219,180000,169.5000000,170.9800000,169.5000000,170.0800000,129883
US2.AAPL,60,20190219,190000,170.1400000,170.2000000,169.5400000,170.1300000,163135
US2.AAPL,60,20190219,200000,170.1350000,170.7800000,170.0400000,170.7500000,128722
US2.AAPL,60,20190219,210000,170.6700000,170.7800000,170.5200000,170.5500000,67435
US2.AAPL,60,20190219,220000,170.5600000,170.6900000,170.3200000,170.6300000,55130
US2.AAPL,60,20190219,230000,170.6200000,171.4400000,170.6100000,171.4200000,71689
US2.AAPL,60,20190220,000000,171.4100000,171.4100000,170.7500000,170.9200000,123245
US2.AAPL,60,20190220,180000,171.1800000,172.2100000,171.0000000,172.0800000,167130
US2.AAPL,60,20190220,190000,172.0900000,173.3200000,171.8900000,172.7200000,250031
US2.AAPL,60,20190220,200000,172.7200000,172.9600000,172.5400000,172.6500000,122498
US2.AAPL,60,20190220,210000,172.6600000,172.6900000,171.6200000,171.8900000,130432
US2.AAPL,60,20190220,220000,171.8950000,172.4600000,171.8850000,172.3800000,92658
US2.AAPL,60,20190220,230000,172.3300000,172.8000000,171.3500000,172.2600000,190155
US2.AAPL,60,20190221,000000,172.2700000,172.3600000,171.6500000,172.0700000,178630
US2.AAPL,60,20190221,180000,171.7600000,172.3500000,170.8300000,171.2700000,200590
US2.AAPL,60,20190221,190000,171.2600000,171.3900000,170.8300000,170.9200000,209858
US2.AAPL,60,20190221,200000,170.9000000,171.4000000,170.4900000,171.3200000,147407
US2.AAPL,60,20190221,210000,171.3600000,171.6900000,171.3200000,171.6400000,87669
US2.AAPL,60,20190221,220000,171.6200000,171.6500000,171.2900000,171.4000000,82507
